;Name;Date;Views;Likes;Dislikes;Ratio;Category;Episode;Duration;n_guests;Guests
0;Joe Rogan Experience #1 – Brian Redban;January 17, 2013;696,642 views;6,855 likes;185 dislikes;37.05 ratio;['Comedians'];1;02:02;1;['Brian Redban']
1;Joe Rogan Experience #2 – Brian Redban;January 17, 2013;137,946 views;1,036 likes;71 dislikes;14.59 ratio;['Comedians'];2;02:32;1;['Brian Redban']
2;Joe Rogan Experience #3 – Ari Shaffir, Brian Redban;January 17, 2013;135,861 views;1,027 likes;67 dislikes;15.33 ratio;['Comedians'];3;02:15;2;['Ari Shaffir', ' Brian Redban']
3;Joe Rogan Experience #4 – Brian Redban;January 17, 2013;56,269 views;483 likes;42 dislikes;11.50 ratio;['Comedians'];4;02:18;1;['Brian Redban']
4;Joe Rogan Experience #5 – Ari Shaffir, John Heffron, Brian Redban (Part 1);January 17, 2013;51,020 views;354 likes;21 dislikes;16.86 ratio;['Comedians'];5;02:17;3;['John Heffron', ' Ari Shaffir', ' Brian Redban']
5;Joe Rogan Experience #5 – Ari Shaffir, John Heffron, Brian Redban (Part 2);January 18, 2013;34,395 views;284 likes;12 dislikes;23.67 ratio;['Comedians'];5;02:17;3;['John Heffron', ' Ari Shaffir', ' Brian Redban']
6;Joe Rogan Experience #6 – Brian Redban;January 18, 2013;52,193 views;566 likes;26 dislikes;21.77 ratio;['Comedians'];6;02:33;1;['Brian Redban']
7;Joe Rogan Experience #7 – Brian Redban;January 18, 2013;32,875 views;322 likes;14 dislikes;23.00 ratio;['Comedians'];7;02:32;1;['Brian Redban']
8;Joe Rogan Experience #9 – Brian Redban (Part 2);January 18, 2013;14,669 views;202 likes;6 dislikes;33.67 ratio;['Comedians'];9;02:30;1;['Brian Redban']
9;Joe Rogan Experience #9 – Brian Redban (Part 1);January 18, 2013;20,977 views;220 likes;8 dislikes;27.50 ratio;['Comedians'];9;02:30;1;['Brian Redban']
10;Joe Rogan Experience #11 – Ari Shaffir, Brian Redban;January 18, 2013;34,410 views;355 likes;13 dislikes;27.31 ratio;['Comedians'];11;02:21;2;['Ari Shaffir', ' Brian Redban']
11;Joe Rogan Experience #13 – Eddie Bravo;January 18, 2013;61,902 views;658 likes;14 dislikes;47.00 ratio;['Athletes, Fighters, Martial Arts', 'Musicians'];13;00:43;1;['Eddie Bravo']
12;Joe Rogan Experience #14 – Brian Redban;January 18, 2013;20,571 views;239 likes;6 dislikes;39.83 ratio;['Comedians'];14;02:02;1;['Brian Redban']
13;Joe Rogan Experience #15 – Brian Redban;January 18, 2013;22,043 views;338 likes;14 dislikes;24.14 ratio;['Comedians'];15;01:58;1;['Brian Redban']
14;Joe Rogan Experience #16 – Brian Redban;January 18, 2013;19,462 views;269 likes;9 dislikes;29.89 ratio;['Comedians'];16;02:02;1;['Brian Redban']
15;Joe Rogan Experience #17 – Ari Shaffir, Eddie Bravo;January 18, 2013;97,224 views;971 likes;34 dislikes;28.56 ratio;['Athletes, Fighters, Martial Arts', 'Comedians', 'Musicians'];17;02:10;2;['Ari Shaffir', ' Eddie Bravo']
16;Joe Rogan Experience #18 – Brian Redban;January 18, 2013;19,385 views;271 likes;10 dislikes;27.10 ratio;['Comedians'];18;02:03;1;['Brian Redban']
17;Joe Rogan Experience #19 – Brian Redban;January 18, 2013;24,143 views;309 likes;15 dislikes;20.60 ratio;['Comedians'];19;02:15;1;['Brian Redban']
18;Joe Rogan Experience #20 – Tom Segura;January 18, 2013;59,608 views;553 likes;20 dislikes;27.65 ratio;['Comedians'];20;02:22;1;['Tom Segura']
19;Joe Rogan Experience #21 – Brian Redban;January 18, 2013;23,293 views;255 likes;11 dislikes;23.18 ratio;['Comedians'];21;02:22;1;['Brian Redban']
20;Joe Rogan Experience #22 – John Heffron, Brian Redban;January 18, 2013;12,782 views;147 likes;5 dislikes;29.40 ratio;['Comedians'];22;02:17;2;['John Heffron', ' Brian Redban']
21;Joe Rogan Experience #23 – Brian Redban;January 18, 2013;15,147 views;180 likes;5 dislikes;36.00 ratio;['Comedians'];23;02:13;1;['Brian Redban']
22;Joe Rogan Experience #24 – Eddie Bravo;January 18, 2013;45,801 views;364 likes;8 dislikes;45.50 ratio;['Athletes, Fighters, Martial Arts', 'Musicians'];24;02:17;2;['Eddie Bravo', ' Brian Redban']
23;Joe Rogan Experience #25 – Joey Diaz;January 18, 2013;154,307 views;1,825 likes;76 dislikes;24.01 ratio;['Actors', 'Comedians'];25;02:20;2;['Joey Diaz', ' Brian Redban']
24;Joe Rogan Experience #26 – Bill Burr, Brian Redban;January 18, 2013;399,111 views;3,042 likes;183 dislikes;16.62 ratio;['Comedians'];26;02:20;2;['Bill Burr', ' Brian Redban']
25;Joe Rogan Experience #27 – Sam Tripoli, Brian Redban;January 19, 2013;26,325 views;295 likes;13 dislikes;22.69 ratio;['Comedians'];27;02:48;2;['Sam Tripoli', ' Brian Redban']
26;Joe Rogan Experience #28 – Joey Diaz, Brian Redban;January 19, 2013;134,859 views;1,188 likes;60 dislikes;19.80 ratio;['Actors', 'Comedians'];28;02:08;2;['Joey Diaz', ' Brian Redban']
27;Joe Rogan Experience #29 – Brian Redban;January 19, 2013;18,506 views;239 likes;10 dislikes;23.90 ratio;['Comedians'];29;02:00;1;['Brian Redban']
28;Joe Rogan Experience #30 — Eddie Bravo;January 19, 2013;29,233 views;293 likes;13 dislikes;22.54 ratio;['Athletes, Fighters, Martial Arts', 'Musicians'];30;02:10;2;['Eddie Bravo', ' Brian Redban']
29;Joe Rogan Experience #31 — Mayhem Miller, Brian Redban;January 19, 2013;40,676 views;366 likes;19 dislikes;19.26 ratio;['Athletes, Fighters, Martial Arts', 'Comedians'];31;02:11;2;['Mayhem Miller', ' Brian Redban']
30;Joe Rogan Experience #32 — Bryan Callen, Brian Redban;January 19, 2013;26,708 views;310 likes;7 dislikes;44.29 ratio;['Actors', 'Comedians'];32;01:57;2;['Bryan Callen', ' Brian Redban']
31;Joe Rogan Experience #33 — Dane Cook, Brian Redban;January 19, 2013;152,387 views;1,303 likes;84 dislikes;15.51 ratio;['Comedians'];33;02:29;2;['Dane Cook', ' Brian Redban']
32;Joe Rogan Experience #34 — Doug Benson, Brian Redban;January 19, 2013;21,743 views;173 likes;7 dislikes;24.71 ratio;['Comedians'];34;02:14;2;['Doug Benson', ' Brian Redban']
33;Joe Rogan Experience #36 – Eddie Bravo, Brian Redban;January 19, 2013;22,926 views;287 likes;8 dislikes;35.88 ratio;['Athletes, Fighters, Martial Arts', 'Comedians', 'Musicians'];36;02:49;2;['Eddie Bravo', ' Brian Redban']
34;Joe Rogan Experience #37 – Ricky Schroder, Brian Redban;January 19, 2013;16,243 views;171 likes;4 dislikes;42.75 ratio;['Actors', 'Comedians'];37;02:02;2;['RICKY SCHRODER', ' BRIAN REDBAN']
35;Joe Rogan Experience #38 – Bryan Callen, Brian Redban;January 19, 2013;25,967 views;301 likes;11 dislikes;27.36 ratio;['Actors', 'Comedians'];38;02:24;2;['Bryan Callen', ' Brian Redban']
36;Joe Rogan Experience #39 – Joey Diaz, Eddie Bravo (Part 2);January 19, 2013;11,688 views;154 likes;5 dislikes;30.80 ratio;['Actors', 'Athletes, Fighters, Martial Arts', 'Comedians', 'Musicians'];39;02:16;2;['Joey Diaz', ' Eddie Bravo']
37;Joe Rogan Experience #39 – Joey Diaz, Eddie Bravo (Part 1);January 19, 2013;78,299 views;734 likes;30 dislikes;24.47 ratio;['Actors', 'Athletes, Fighters, Martial Arts', 'Comedians', 'Musicians'];39;02:16;2;['Joey Diaz', ' Eddie Bravo']
38;Joe Rogan Experience #40 – Tyler Knight, Brian Redban;January 19, 2013;14,876 views;143 likes;12 dislikes;11.92 ratio;['Comedians'];40;02:18;2;['Tyler Knight', ' Brian Redban']
39;Joe Rogan Experience #41 – Ari Shaffir, Brian Redban;January 19, 2013;8,466 views;66 likes;11 dislikes;6.00 ratio;['Comedians'];41;02:25;2;['Ari Shaffir', ' Brian Redban']
40;Joe Rogan Experience #42 – Duncan Trussell, Brian Redban;January 19, 2013;98,048 views;811 likes;39 dislikes;20.79 ratio;['Comedians'];42;02:07;2;['Duncan Trussell', ' Brian Redban']
41;Joe Rogan Experience #43 – Doug Stanhope, Brian Redban;January 19, 2013;59,391 views;498 likes;26 dislikes;19.15 ratio;['Comedians'];43;02:30;2;['Doug Stanhope', ' Brian Reichle']
42;Joe Rogan Experience #44 – Todd McCormick, Brian Redban (Part 1);January 19, 2013;8,856 views;65 likes;5 dislikes;13.00 ratio;['Comedians'];44;02:17;2;['Todd McKormick', ' Brian Redban']
43;Joe Rogan Experience #44 – Todd McCormick, Brian Redban (Part 2);January 19, 2013;16,043 views;187 likes;6 dislikes;31.17 ratio;['Comedians'];44;02:17;2;['Todd McKormick', ' Brian Redban']
44;Joe Rogan Experience #45 – Tom Green, Brian Redban;January 19, 2013;50,917 views;478 likes;21 dislikes;22.76 ratio;['Comedians'];45;01:59;2;['Tom Green', ' Brian Redban']
45;Joe Rogan Experience #46 – Chris Aubrey Marcus, Brian Redban (Part 2);January 19, 2013;7,523 views;93 likes;5 dislikes;18.60 ratio;['Business', 'Comedians', 'Writers'];46;02:25;2;['Chris Aubrey Marcus', ' Brian Redban']
46;Joe Rogan Experience #46 – Chris Aubrey Marcus, Brian Redban (Part 1);January 19, 2013;19,298 views;204 likes;6 dislikes;34.00 ratio;['Business', 'Comedians', 'Writers'];46;02:25;2;['Chris Aubrey Marcus', ' Brian Redban']
47;Joe Rogan Experience #47 – Michael Schiavello;January 19, 2013;20,067 views;217 likes;9 dislikes;24.11 ratio;['Journalists'];47;01:22;1;['Michael Schiavello']
48;Joe Rogan Experience #48 – Brian Redban;January 19, 2013;13,259 views;168 likes;2 dislikes;84.00 ratio;['Comedians'];48;02:18;1;['Brian Redban']
49;Joe Rogan Experience #49 – Duncan Trussell, Brian Redban;January 19, 2013;98,416 views;924 likes;46 dislikes;20.09 ratio;['Comedians'];49;03:01;2;['Duncan Trussell', ' Brian Redban']
50;Joe Rogan Experience #50 – Little Esther, Brian Redban;January 19, 2013;36,970 views;379 likes;32 dislikes;11.84 ratio;['Comedians'];50;02:33;2;['Little Esther', ' Brian Redban']
51;Joe Rogan Experience #51 – Joey Diaz, Brian Redban;January 20, 2013;72,935 views;697 likes;36 dislikes;19.36 ratio;['Actors', 'Comedians'];51;02:05;2;['Joey Diaz', ' Brian Redban']
52;Joe Rogan Experience #53 – Freddy Lockhart, Brian Redban;January 20, 2013;12,353 views;142 likes;5 dislikes;28.40 ratio;['Comedians'];53;02:51;2;['Freddy Lockhart', ' Brian Redban']
53;Joe Rogan Experience #54 – Eddie Bravo, Brian Redban;January 20, 2013;27,551 views;302 likes;12 dislikes;25.17 ratio;['Athletes, Fighters, Martial Arts', 'Comedians', 'Musicians'];54;02:16;2;['EDDIE BRAVO', ' BRIAN REDBAN']
54;Joe Rogan Experience #55 – Duncan Trussell, Brian Redban;January 20, 2013;84,100 views;886 likes;33 dislikes;26.85 ratio;['Comedians'];55;02:39;2;['Duncan Trussell', ' Brian Redban']
55;Joe Rogan Experience #56 – Johnny Pemberton, Brian Redban;January 20, 2013;8,350 views;61 likes;6 dislikes;10.17 ratio;['Comedians'];56;02:34;2;['Johnny Pemberton', ' Brian Redban']
56;Joe Rogan Experience #57 – Jayson Thibault, Brian Redban;January 20, 2013;6,389 views;69 likes;6 dislikes;11.50 ratio;['Comedians'];57;02:08;2;['Jayson Thibault', ' Brian Redban']
57;Joe Rogan Experience #58 – Mayhem Miller, Brian Redban;January 20, 2013;27,263 views;241 likes;9 dislikes;26.78 ratio;['Athletes, Fighters, Martial Arts', 'Comedians'];58;02:31;2;['Jason Mayhem Miller', ' Brian Redban']
58;Joe Rogan Experience #59 – Ralphie May, Brian Redban;January 20, 2013;229,349 views;1,771 likes;141 dislikes;12.56 ratio;['Comedians'];59;02:11;2;['Ralphie May', ' Brian Redban']
59;Joe Rogan Experience #60 – Joey Diaz & Ari Shaffir;January 20, 2013;128,594 views;1,311 likes;66 dislikes;19.86 ratio;['Actors', 'Comedians'];60;02:27;3;['Joey Diaz', ' Ari Shaffir', ' Brian Redban']
60;Joe Rogan Experience #61 – Cliffy B, Brian Redban;January 20, 2013;16,904 views;207 likes;6 dislikes;34.50 ratio;['Comedians', 'IT, Game Devs, Programming'];61;02:21;2;['Cliff Bleszinski', ' Brian Redban']
61;Joe Rogan Experience #63 – Russell Peters, Brian Redban;January 20, 2013;21,335 views;220 likes;6 dislikes;36.67 ratio;['Actors', 'Comedians'];63;02:35;2;['Russell Peters', ' Brian Redban']
62;Joe Rogan Experience #64 – John Heffron, Brian Redban;January 20, 2013;10,519 views;121 likes;4 dislikes;30.25 ratio;['Comedians'];64;02:35;2;['John Heffron', ' Brian Redban']
63;Joe Rogan Experience #65 – Joey Diaz, Brian Redban;January 20, 2013;96,922 views;854 likes;34 dislikes;25.12 ratio;['Actors', 'Comedians'];65;02:08;2;['Joey Diaz', ' Brian Redban']
64;Joe Rogan Experience #66 – Nick Swardson, Brian Redban;January 20, 2013;79,742 views;596 likes;40 dislikes;14.90 ratio;['Actors', 'Comedians'];66;02:07;2;['Nick Swardson', ' Brian Redban']
65;Joe Rogan Experience #67 -Hal Sparks, Brian Redban;January 20, 2013;12,628 views;139 likes;13 dislikes;10.69 ratio;['Comedians'];67;02:38;2;['Hal Sparks', ' Brian Redban']
66;Joe Rogan Experience #68 – Iliza Schlesinger, Brian Redban;January 20, 2013;36,583 views;302 likes;16 dislikes;18.88 ratio;['Comedians'];68;02:37;2;['Iliza Schlesinger', ' Brian Redban']
67;Joe Rogan Experience #69 – Bryan Callen, Brian Redban;January 20, 2013;24,942 views;269 likes;12 dislikes;22.42 ratio;['Actors', 'Comedians'];69;02:29;2;['Bryan Callen', ' Brian Redban']
68;Joe Rogan Experience #70 – Brendon Walsh, Brian Redban;January 20, 2013;12,562 views;113 likes;5 dislikes;22.60 ratio;['Comedians'];70;02:44;2;['Brendon Walsh', ' Brian Redban']
69;Joe Rogan Experience #71 – Al Madrigal, Brian Redban;January 20, 2013;14,058 views;139 likes;9 dislikes;15.44 ratio;['Actors', 'Comedians'];71;02:50;2;['Al Madrigal', ' Brian Redban']
70;Joe Rogan Experience #72 – Ari Shaffir, Brian Redban;January 20, 2013;13,440 views;162 likes;4 dislikes;40.50 ratio;['Comedians'];72;02:29;2;['Ari Shaffir', ' Brian Redban']
71;Joe Rogan Experience #73 – Bert Kreischer, Brian Redban;January 20, 2013;66,254 views;762 likes;26 dislikes;29.31 ratio;['Comedians'];73;02:14;2;['Bert Kreischer', ' Brian Redban']
72;Joe Rogan Experience #74 – Allison Sciulla, Brian Redban;January 21, 2013;12,588 views;122 likes;2 dislikes;61.00 ratio;['Comedians'];74;02:27;2;['Allison Sciulla', ' Brian Redban']
73;Joe Rogan Experience #75 – Sam Tripoli, Brian Redban;January 21, 2013;10,137 views;127 likes;8 dislikes;15.88 ratio;['Comedians'];75;02:21;2;['Sam Tripoli', ' Brian Redban']
74;Joe Rogan Experience #76 – Bobby Lee, Brian Redban;January 21, 2013;463,674 views;4,357 likes;199 dislikes;21.89 ratio;['Comedians'];76;02:16;2;['Bobby Lee', ' Brian Redban']
75;Joe Rogan Experience #77 – Eddie Ifft, Brian Redban;January 21, 2013;10,895 views;154 likes;4 dislikes;38.50 ratio;['Comedians'];77;02:32;2;['Eddie Ifft', ' Brian Redban']
76;Joe Rogan Experience #78 – Chris Aubrey Marcus, Brian Redban;January 21, 2013;11,975 views;117 likes;8 dislikes;14.63 ratio;['Business', 'Comedians', 'Writers'];78;02:10;2;['Chris Marcus', ' Brian Redban']
77;Joe Rogan Experience #79 – Jon Lajoie, Brian Redban;January 21, 2013;17,118 views;268 likes;3 dislikes;89.33 ratio;['Comedians'];79;02:16;2;['Jon Lajoie', ' Brian Redban']
78;Joe Rogan Experience #80 – Joey Diaz, Ari Shaffir, Brian Redban;January 21, 2013;19,336 views;157 likes;3 dislikes;52.33 ratio;['Actors', 'Comedians'];80;01:10;3;['Joey Diaz', ' Ari Shaffir', ' Brian Redban']
