,Time(s),Count,From noise set(%),From signal(%)
0,6.25e-05,1624749,19.09,0.92
1,0.000125,1072408,12.6,0.61
2,0.0001875,641240,7.54,0.36
3,0.00025,471542,5.54,0.27
4,0.0003125,346687,4.07,0.2
5,0.000375,282803,3.32,0.16
6,0.0004375,233951,2.75,0.13
7,0.0005,206945,2.43,0.12
8,0.0005625000000000001,178498,2.1,0.1
9,0.000625,157327,1.85,0.09
10,0.0006875,142110,1.67,0.08
11,0.00075,136612,1.61,0.08
12,0.000875,133307,1.57,0.08
13,0.0009375,133010,1.56,0.08
14,0.0008125000000000001,132726,1.56,0.08
15,0.001,129194,1.52,0.07
16,0.0010625,122240,1.44,0.07
17,0.0011250000000000001,116064,1.36,0.07
18,0.0011875,111634,1.31,0.06
19,0.00125,110443,1.3,0.06
20,0.0013125,108886,1.28,0.06
21,0.001375,105519,1.24,0.06
22,0.0014375,103840,1.22,0.06
23,0.0016250000000000001,103831,1.22,0.06
24,0.0016875,103455,1.22,0.06
25,0.0015625,102393,1.2,0.06
26,0.0015,102344,1.2,0.06
27,0.00175,101610,1.19,0.06
28,0.0018125,96811,1.14,0.05
29,0.001875,87328,1.03,0.05
30,0.0019375,78984,0.93,0.04
31,0.002,70859,0.83,0.04
32,0.0020625,64311,0.76,0.04
33,0.002125,58702,0.69,0.03
34,0.0021875,53965,0.63,0.03
35,0.0022500000000000003,48194,0.57,0.03
36,0.0023125,43245,0.51,0.02
37,0.002375,38887,0.46,0.02
38,0.0024375,35434,0.42,0.02
39,0.0025,32189,0.38,0.02
40,0.0025625,29633,0.35,0.02
41,0.002625,26995,0.32,0.02
42,0.0026875000000000002,24983,0.29,0.01
43,0.00275,23648,0.28,0.01
44,0.0028125,22951,0.27,0.01
45,0.002875,21976,0.26,0.01
46,0.0029375,21178,0.25,0.01
47,0.003,20419,0.24,0.01
48,0.0030625,19609,0.23,0.01
49,0.003125,18662,0.22,0.01
50,0.0031875000000000002,17730,0.21,0.01
51,0.0032500000000000003,16554,0.19,0.01
52,0.0033125,15551,0.18,0.01
53,0.003375,14565,0.17,0.01
54,0.0034375,13322,0.16,0.01
