,Time(s),Count,From silence set(%),From signal(%)
0,6.25e-05,4630673,54.42,2.62
1,0.000125,1498468,17.61,0.85
2,0.0001875,705886,8.3,0.4
3,0.00025,414509,4.87,0.23
4,0.0003125,265034,3.11,0.15
5,0.000375,180908,2.13,0.1
6,0.0004375,127419,1.5,0.07
7,0.0005,96074,1.13,0.05
8,0.0005625000000000001,73565,0.86,0.04
9,0.000625,59344,0.7,0.03
10,0.0006875,48315,0.57,0.03
11,0.00075,40601,0.48,0.02
12,0.0008125000000000001,34433,0.4,0.02
13,0.000875,28695,0.34,0.02
14,0.0009375,24552,0.29,0.01
15,0.001,20814,0.24,0.01
16,0.0010625,18417,0.22,0.01
17,0.0011250000000000001,15970,0.19,0.01
18,0.0011875,14278,0.17,0.01
19,0.00125,12322,0.14,0.01
20,0.0013125,11071,0.13,0.01
21,0.001375,9850,0.12,0.01
22,0.0014375,8841,0.1,0.01
23,0.0015,8154,0.1,0.0
24,0.0015625,7324,0.09,0.0
25,0.0016250000000000001,6766,0.08,0.0
26,0.0016875,6251,0.07,0.0
27,0.00175,5587,0.07,0.0
28,0.0018125,5207,0.06,0.0
29,0.001875,4993,0.06,0.0
30,0.0019375,4677,0.05,0.0
31,0.002,4268,0.05,0.0
32,0.0020625,3991,0.05,0.0
33,0.002125,3726,0.04,0.0
34,0.0021875,3398,0.04,0.0
35,0.0022500000000000003,3257,0.04,0.0
36,0.0023125,2916,0.03,0.0
37,0.002375,2820,0.03,0.0
38,0.0024375,2585,0.03,0.0
39,0.0025,2482,0.03,0.0
40,0.0025625,2257,0.03,0.0
41,0.002625,2203,0.03,0.0
42,0.0026875000000000002,2003,0.02,0.0
43,0.00275,1891,0.02,0.0
44,0.0028125,1835,0.02,0.0
45,0.002875,1757,0.02,0.0
46,0.0029375,1664,0.02,0.0
47,0.003,1516,0.02,0.0
48,0.0030625,1479,0.02,0.0
49,0.003125,1449,0.02,0.0
50,0.0032500000000000003,1369,0.02,0.0
51,0.0031875000000000002,1311,0.02,0.0
52,0.0033125,1268,0.01,0.0
53,0.003375,1215,0.01,0.0
54,0.0034375,1126,0.01,0.0
55,0.0035,1112,0.01,0.0
56,0.0035625,1048,0.01,0.0
57,0.003625,1002,0.01,0.0
58,0.0036875000000000002,946,0.01,0.0
59,0.00375,900,0.01,0.0
60,0.0038125,877,0.01,0.0
61,0.003875,848,0.01,0.0
62,0.0039375,826,0.01,0.0
63,0.004,781,0.01,0.0
64,0.0041875,726,0.01,0.0
65,0.004125,724,0.01,0.0
66,0.0040625,707,0.01,0.0
67,0.00425,652,0.01,0.0
68,0.0043125,636,0.01,0.0
69,0.0044375000000000005,623,0.01,0.0
70,0.0045000000000000005,615,0.01,0.0
71,0.004375,613,0.01,0.0
72,0.0045625,548,0.01,0.0
73,0.0046875,548,0.01,0.0
74,0.004625,538,0.01,0.0
75,0.00475,496,0.01,0.0
76,0.0048125,492,0.01,0.0
77,0.004875,481,0.01,0.0
78,0.005,478,0.01,0.0
79,0.0049375,460,0.01,0.0
80,0.0050625,447,0.01,0.0
81,0.0051875,421,0.0,0.0
82,0.005125,409,0.0,0.0
83,0.00525,402,0.0,0.0
84,0.0053750000000000004,402,0.0,0.0
85,0.0053125,378,0.0,0.0
86,0.0055,362,0.0,0.0
87,0.0054375000000000005,360,0.0,0.0
88,0.005625,343,0.0,0.0
89,0.0055625,322,0.0,0.0
90,0.0058125,320,0.0,0.0
91,0.00575,309,0.0,0.0
92,0.0056875,306,0.0,0.0
93,0.005875,298,0.0,0.0
94,0.006,295,0.0,0.0
95,0.0060625,291,0.0,0.0
96,0.006125,287,0.0,0.0
97,0.0059375,281,0.0,0.0
98,0.00625,267,0.0,0.0
99,0.0063750000000000005,255,0.0,0.0
100,0.0061875,251,0.0,0.0
101,0.0069375,250,0.0,0.0
102,0.0063125,250,0.0,0.0
103,0.006500000000000001,248,0.0,0.0
104,0.0065625,244,0.0,0.0
105,0.0064375000000000005,241,0.0,0.0
106,0.006625,241,0.0,0.0
107,0.0068125,231,0.0,0.0
108,0.007,223,0.0,0.0
109,0.00725,219,0.0,0.0
110,0.0073750000000000005,219,0.0,0.0
111,0.0066875,218,0.0,0.0
112,0.007125,218,0.0,0.0
113,0.0070625,216,0.0,0.0
114,0.00675,216,0.0,0.0
115,0.006875,213,0.0,0.0
116,0.0074375000000000005,203,0.0,0.0
117,0.007625,201,0.0,0.0
118,0.0076875,191,0.0,0.0
119,0.0073125,188,0.0,0.0
120,0.0071875,184,0.0,0.0
121,0.00775,183,0.0,0.0
122,0.008,182,0.0,0.0
123,0.0078125,178,0.0,0.0
124,0.0080625,178,0.0,0.0
125,0.007875,176,0.0,0.0
126,0.0079375,174,0.0,0.0
127,0.0075625,170,0.0,0.0
128,0.0083125,166,0.0,0.0
129,0.0075,162,0.0,0.0
130,0.008125,161,0.0,0.0
131,0.008375,156,0.0,0.0
132,0.0085625,155,0.0,0.0
133,0.0081875,153,0.0,0.0
134,0.0086875,153,0.0,0.0
135,0.0084375,150,0.0,0.0
136,0.008875000000000001,148,0.0,0.0
137,0.00825,145,0.0,0.0
138,0.008812500000000001,144,0.0,0.0
139,0.009000000000000001,142,0.0,0.0
140,0.0091875,137,0.0,0.0
141,0.008625,137,0.0,0.0
142,0.0090625,134,0.0,0.0
143,0.0098125,133,0.0,0.0
144,0.00875,133,0.0,0.0
145,0.0095625,132,0.0,0.0
146,0.009375,130,0.0,0.0
147,0.009125,130,0.0,0.0
148,0.0085,127,0.0,0.0
149,0.00925,125,0.0,0.0
150,0.008937500000000001,122,0.0,0.0
151,0.0101875,122,0.0,0.0
152,0.0099375,122,0.0,0.0
153,0.0093125,121,0.0,0.0
154,0.009625,120,0.0,0.0
155,0.009875,118,0.0,0.0
156,0.0095,118,0.0,0.0
