Episode;Date;Duration;n_guests;Guests;Category
1530;2020-08-31;05:31;1;['Duncan Trussell'];['Comedians']
1529;2020-08-21;03:18;2;['Whitney Cummings', 'Annie Lederman'];['Comedians']
1528;2020-08-20;02:42;1;['Nikki Glaser'];['Comedians']
1527;2020-08-18;02:32;1;['David Blaine'];['Miscellaneous']
1526;2020-08-15;02:40;1;['Ali Macofsky'];['Actors', 'Comedians']
1525;2020-08-14;02:24;1;['Tim Dillon'];['Comedians']
1524;2020-08-13;02:22;1;['Ron Funches'];['Actors', 'Comedians']
1523;2020-08-12;03:39;2;['Joey Diaz', 'Brian Redban'];['Comedians']
1522;2020-08-07;03:03;1;['Rob Lowe'];['Actors']
1521;2020-08-06;03:04;2;['Josh Dubin', 'Jason Flom'];['Miscellaneous', 'Military, Law Enforcement']
1520;2020-08-05;02:12;1;['Dr. Debra Soh'];['Miscellaneous', 'Scientists']
1519;2020-08-04;02:54;1;['Mike Baker'];['Military, Law Enforcement']
1518;2020-07-31;04:00;1;['David Choe'];['Artists']
1517;2020-07-30;02:04;1;['Nancy Panza'];['Scientists']
1516;2020-07-29;04:01;1;['Post Malone'];['Musicians']
1515;2020-07-28;02:52;1;['Dr. Bradley Garrett'];['Scientists']
1514;2020-07-24;02:39;1;['Joe De Sena'];['Athletes, Fighters, Martial Arts']
1513;2020-07-23;02:55;1;['Andrew Huberman'];['Health', 'Scientists']
1512;2020-07-22;01:52;1;['Ben Shapiro'];['Miscellaneous', 'Activists']
1511;2020-07-21;01:52;1;['Oliver Stone'];['Authors', 'Filmmakers']
1510;2020-07-17;03:08;2;['George Knapp', 'Jeremy Corbell'];['Authors', 'Journalists', 'Filmmakers']
1509;2020-07-16;01:56;1;['Abigail Shrier'];['Health', 'Journalists']
1508;2020-07-15;03:16;1;['Peter Schiff'];['Business']
1507;2020-07-14;02:43;1;['Bob Saget'];['Actors', 'Comedians']
1506;2020-07-10;01:59;1;['James Nestor'];['Journalists']
1505;2020-07-09;02:44;1;['Hannibal Buress'];['Actors', 'Comedians']
1504;2020-07-08;03:31;1;['Alan Levinovitz'];['Authors']
1503;2020-07-07;03:12;1;['Josh Barnett'];['Athletes, Fighters, Martial Arts']
1502;2020-07-03;02:39;1;['Russell Peters'];['Comedians']
1501;2020-07-02;03:13;1;['James Lindsay'];['Authors', 'Scientists']
1500;2020-07-01;01:58;1;['Barbara Freese'];['Authors', 'Politics']
1499;2020-06-30;03:08;1;['Aron Snyder'];['Hunters']
1498;2020-06-26;01:35;1;['Jon Stewart'];['Comedians']
1497;2020-06-25;03:06;1;['Joe Schilling'];['Athletes, Fighters, Martial Arts']
1496;2020-06-23;03:05;1;['Colion Noir'];['Miscellaneous']
1495;2020-06-19;03:32;1;['Kyle Dunnigan'];['Comedians']
1494;2020-06-18;03:18;1;['Bret Weinstein'];['Scientists']
1493;2020-06-16;02:45;2;['Steve Schirripa', 'Michael Imperioli'];['Actors']
1492;2020-06-16;03:05;1;['Jocko Willink'];['Athletes, Fighters, Martial Arts']
1491;2020-06-12;03:12;1;['Bill Burr'];['Comedians']
1490;2020-06-11;02:42;1;['Jimmy O. Yang'];['Actors', 'Comedians']
1489;2020-06-10;01:46;1;['Ronnie Coleman'];['Athletes, Fighters, Martial Arts']
1488;2020-06-09;02:56;1;['Andrew Schulz'];['Comedians']
1487;2020-06-06;02:02;2;['Janet Zuccarini', 'Evan Funke'];['Food, Nutrition']
1486;2020-06-05;04:59;1;['Honey Honey'];['Musicians']
1485;2020-06-03;02:53;2;['Krystal', 'Saagar'];['Politics']
1484;2020-06-02;02:46;1;['Reggie Watts'];['Actors', 'Musicians']
1483;2020-05-29;02:52;1;['Jesus Trejo'];['Actors', 'Comedians']
1482;2020-05-28;02:22;1;['Jordan Jonas'];['Miscellaneous']
1481;2020-05-26;02:49;1;['Adam Eget'];['Miscellaneous']
1480;2020-05-25;02:12;1;['Kevin Hart'];['Actors', 'Comedians']
1479;2020-05-22;03:12;1;['David Pakman'];['Miscellaneous']
1478;2020-05-21;02:19;1;['Joel Salatin'];['Food, Nutrition']
1477;2020-05-20;01:53;1;['Tony Hawk'];['Athletes, Fighters, Martial Arts']
1476;2020-05-19;01:24;1;['Patton Oswalt'];['Actors', 'Comedians']
1475;2020-05-16;03:28;1;['Bridget Phetasy'];['Writers', 'Comedians']
1474;2020-05-14;03:17;1;['Dr. Rhonda Patrick'];['Health', 'Food, Nutrition', 'Scientists']
1473;2020-05-13;03:14;1;['Tom Papa'];['Actors', 'Comedians']
1472;2020-05-12;03:15;1;['Michael Yo'];['Comedians']
1471;2020-05-07;03:07;1;['Tony Hinchcliffe'];['Comedians']
1470;2020-05-07;02:11;1;['Elon Musk'];['Business']
1469;2020-05-05;02:06;1;['Adam Perry Lang'];['Food, Nutrition']
1468;2020-05-01;03:19;1;['Alonzo Bodden'];['Comedians']
1467;2020-04-30;03:01;1;['Jack Carr'];['Authors', 'Military, Law Enforcement']
1466;2020-04-29;03:35;1;['Jessimae Peluso'];['Comedians']
1465;2020-04-27;03:12;1;['Tim Pool'];['Journalists']
1464;2020-04-25;03:17;1;['Duncan Trussell'];['Comedians']
1463;2020-04-24;03:36;1;['Tom Green'];['Actors', 'Comedians']
1462;2020-04-23;03:27;1;['Kurt Metzger'];['Actors', 'Comedians']
1461;2020-04-22;03:03;1;['Owen Smith'];['Comedians']
1460;2020-04-17;03:11;1;['Donnell Rawlings'];['Actors', 'Comedians']
1459;2020-04-16;03:04;1;['Tom Neill'];['Journalists']
1458;2020-04-15;03:00;1;['Chris Elia'];['Writers', 'Actors', 'Comedians']
1457;2020-04-14;03:11;1;['Tim Dillon'];['Comedians']
1456;2020-04-09;02:01;1;['Michael Shermer'];['Writers']
1455;2020-04-08;03:26;1;['Lex Fridman'];['IT, Game Devs, Programming', 'Scientists']
1454;2020-04-07;02:30;1;['Dan Crenshaw'];['Military, Law Enforcement', 'Politics']
1453;2020-04-03;03:14;1;['Eric Weinstein'];['Business', 'Scientists']
1452;2020-04-02;03:21;1;['Greg Fitzsimmons'];['Writers', 'Comedians']
1451;2020-04-01;01:17;1;['Dr. Peter Hotez'];['Health', 'Scientists']
1450;2020-03-31;03:31;1;['Brian Redban'];['Comedians']
1449;2020-03-27;02:57;1;['Bryan Callen'];['Comedians']
1448;2020-03-26;03:10;1;['Joey Diaz'];['Comedians']
1447;2020-03-25;02:48;1;['Tom Segura'];['Comedians']
1446;2020-03-24;03:31;1;['Bert Kreischer'];['Comedians']
1445;2020-03-21;03:00;1;['Andy Stumpf'];['Military, Law Enforcement']
1444;2020-03-19;03:11;1;['Duncan Trussell'];['Comedians']
1443;2020-03-18;02:26;1;['Jonathan Ward'];['Auto, Moto']
1442;2020-03-17;02:46;1;['Shannon Loughlin'];['Miscellaneous']
1441;2020-03-13;01:26;1;['Hugo Martin'];['IT, Game Devs, Programming']
1440;2020-03-12;03:00;1;['Fortune Feimster'];['Writers', 'Comedians']
1439;2020-03-10;01:42;1;['Michael Osterholm'];['Health', 'Scientists']
1438;2020-03-06;02:55;1;['Andrew Santino'];['Actors', 'Comedians']
1437;2020-03-05;02:53;1;['Stephen Dubner'];['Authors', 'Journalists']
1436;2020-03-04;03:11;1;['Adam Curry'];['Miscellaneous', 'Business']
1435;2020-03-03;04:01;2;['Suzanne Santo', 'Gary Clark Jr.'];['Musicians']
1434;2020-02-28;02:59;1;['Trevor Thompson'];['Military, Law Enforcement']
1433;2020-02-27;03:36;1;['Michael Yo'];['Comedians']
1432;2020-02-26;01:50;1;['Aubrey de Grey'];['Health', 'Authors']
1431;2020-02-25;02:43;1;['Owen Smith'];['Comedians']
1430;2020-02-21;03:05;1;['Raghunath Cappo'];['Musicians']
1429;2020-02-20;01:27;1;['Colin Brady'];['Athletes, Fighters, Martial Arts']
1428;2020-02-19;02:36;1;['Brian Greene'];['Scientists']
1427;2020-02-14;02:35;1;['Melissa Chen'];['Activists']
1426;2020-02-12;02:19;1;['Justin Martindale'];['Comedians']
1425;2020-02-07;02:22;1;['Garrett Reisman'];['Scientists']
1424;2020-02-06;02:57;1;['Tom Papa'];['Comedians']
1423;2020-02-05;02:41;1;['Andrew Doyle'];['Journalists', 'Comedians']
1422;2020-02-04;02:57;1;['Lex Fridman'];['IT, Game Devs, Programming', 'Scientists']
1421;2020-02-03;03:11;1;['Jim Norton'];['Comedians']
1420;2020-01-31;02:42;1;['Mark Normand'];['Comedians']
1419;2020-01-30;02:48;1;['Daryl Davis'];['Activists', 'Musicians', 'Authors']
1418;2020-01-23;01:22;1;['Don Gavin'];['Comedians']
1417;2020-01-22;02:41;1;['Kevin Ross'];['Writers', 'Artists', 'Athletes, Fighters, Martial Arts']
1416;2020-01-21;02:02;1;['Rob Kearney'];['Athletes, Fighters, Martial Arts']
1415;2020-01-21;02:40;1;['Bari Weiss'];['Writers']
1414;2020-01-18;02:39;1;['Mike Baker'];['Military, Law Enforcement']
1413;2020-01-17;02:04;1;['Bill Maher'];['Comedians', 'Politics']
1412;2020-01-16;02:57;1;['Jimmy Dore'];['Comedians', 'Politics']
1411;2020-01-15;01:19;1;['Robert Downey Jr.'];['Actors']
1410;2020-01-14;02:47;1;['Ash Dykes'];['Athletes, Fighters, Martial Arts']
1409;2020-01-13;03:13;1;['Joey Diaz'];['Comedians']
1408;2020-01-08;02:05;1;['Ed Calderon'];['Military, Law Enforcement']
1407;2020-01-07;02:55;1;['Michael Malice'];['Authors']
1406;2020-01-07;02:51;1;['Brian Redban'];['Comedians']
1405;2019-12-24;03:30;1;['Sober October'];['Comedians']
1404;2019-12-21;03:08;1;['Bryan Callen'];['Actors', 'Comedians']
1403;2019-12-19;02:56;1;['Forrest Galante'];['Miscellaneous']
1402;2019-12-17;01:54;1;['Boyan Slat'];['Activists', 'Inventors']
1401;2019-12-16;02:35;1;['Iliza Shlesinger'];['Comedians']
1400;2019-12-13;02:57;1;['Tony Hinchcliffe'];['Comedians']
1399;2019-12-12;01:53;1;['Pavel Tsatsouline'];['Athletes, Fighters, Martial Arts']
1398;2019-12-11;03:12;1;['Lil Duval'];['Comedians']
1397;2019-12-10;01:28;1;['S.C. Gwynne'];['Writers', 'Authors']
1396;2019-12-09;02:48;1;['Michelle Wolf'];['Comedians']
1395;2019-12-07;03:20;1;['Glenn Villeneuve'];['Hunters']
1394;2019-12-06;03:17;1;['Matt Farah'];['Auto, Moto']
1393;2019-12-05;03:51;2;['James Wilks', 'Chris Kresser - The Gamechangers Debate'];['Health', 'Scientists', 'Athletes, Fighters, Martial Arts']
1392;2019-12-03;02:27;1;['Zach Bitter'];['Athletes, Fighters, Martial Arts']
1391;2019-11-26;02:46;2;['Tulsi Gabbard', 'Jocko Willink'];['Military, Law Enforcement', 'Politics']
1390;2019-11-22;03:18;1;['Tim Dillon'];['Comedians']
1389;2019-11-21;03:00;1;['Chris Kresser Debunks The Gamechangers Documentary'];['Health', 'Food, Nutrition']
1388;2019-11-20;02:19;1;['Louie Psihoyos'];['Miscellaneous', 'Filmmakers']
1387;2019-11-19;02:26;1;['Josh Homme'];['Musicians']
1386;2019-11-16;02:12;1;['Matt Taibbi'];['Authors', 'Journalists']
1385;2019-11-15;02:21;1;['Paul Stamets'];['Miscellaneous']
1384;2019-11-14;02:58;1;['Ari Shaffir'];['Comedians']
1383;2019-11-13;02:44;1;['Malcolm Gladwell'];['Authors', 'Journalists']
1382;2019-11-12;02:29;2;['RZA', 'Donnell Rawlings'];['Actors', 'Musicians', 'Comedians']
1381;2019-11-12;02:49;1;['Donnell Rawlings'];['Actors', 'Comedians']
1380;2019-11-08;03:10;1;['Pete Dominick'];['Comedians']
1379;2019-11-07;02:03;1;['Ben Westhoff'];['Authors', 'Journalists']
1378;2019-11-06;02:46;1;['Greg Fitzsimmons'];['Writers', 'Comedians']
1377;2019-11-05;02:03;1;['Rick Baker'];['Miscellaneous']
1376;2019-11-04;01:43;1;['Artie Lange'];['Actors', 'Comedians']
1375;2019-10-31;01:31;1;['Edward Norton'];['Actors', 'Filmmakers']
1374;2019-10-30;02:02;1;['Justin Wren'];['Athletes, Fighters, Martial Arts']
1373;2019-10-30;02:29;1;['Kyle Kulinski'];['Activists', 'Politics']
1372;2019-10-29;02:07;1;['Kevin Smith'];['Actors', 'Filmmakers', 'Comedians']
1371;2019-10-29;02:09;1;['Andrew Santino'];['Comedians']
1370;2019-10-24;02:17;1;['Brian Grazer'];['Filmmakers']
1369;2019-10-23;02:30;1;['Christopher Ryan'];['Authors', 'Scientists']
1368;2019-10-23;02:59;1;['Edward Snowden'];['Activists', 'IT, Game Devs, Programming']
1367;2019-10-22;02:36;1;['Bridget Phetasy'];['Writers', 'Comedians']
1366;2019-10-22;01:11;1;['Richard Dawkins'];['Authors', 'Scientists']
1365;2019-10-10;02:40;1;['Cameron Hanes'];['Hunters']
1364;2019-10-09;02:19;1;['Brian Redban'];['Comedians']
1363;2019-10-08;02:16;1;['Dakota Meyer'];['Military, Law Enforcement']
1362;2019-10-07;02:02;1;['Lenny Clarke'];['Comedians']
1361;2019-10-05;02:01;2;['Cmdr. David Fravor', 'Jeremy Corbell'];['Filmmakers', 'Military, Law Enforcement']
1360;2019-10-03;02:49;1;['Nikki Glaser'];['Comedians']
1359;2019-10-02;02:15;1;['Roseanne Barr'];['Actors', 'Comedians']
1358;2019-10-02;02:52;1;['Sober October'];['Comedians']
1357;2019-10-01;01:46;1;['Ari Shaffir'];['Comedians']
1356;2019-09-30;02:44;2;['Sturgill Simpson', 'His Band'];['Musicians']
1355;2019-09-20;03:31;1;['Mark Normand'];['Actors', 'Comedians']
1354;2019-09-19;03:23;1;['The Black Keys'];['Musicians']
1353;2019-09-17;02:15;1;['Rob Zombie'];['Musicians', 'Filmmakers']
1352;2019-09-16;01:41;1;['Sean Carroll'];['Scientists']
1351;2019-09-12;02:31;1;['Dan Aykroyd'];['Actors']
1350;2019-09-11;02:42;1;['Nick Bostrom'];['Scientists']
1349;2019-09-10;02:28;1;['David Sinclair'];['Health', 'Scientists']
1348;2019-09-09;02:33;1;['Bill Burr'];['Comedians']
1347;2019-09-06;02:28;1;['Neil deGrasse Tyson'];['Authors', 'Scientists']
1346;2019-09-05;02:15;1;['Zuby'];['Musicians']
1345;2019-09-05;02:56;1;['Steve Aoki'];['Musicians']
1344;2019-09-04;01:54;1;['Joseph Ledoux'];['Scientists']
1343;2019-08-29;01:58;1;['Penn Jillette'];['Miscellaneous']
1342;2019-08-28;02:46;1;['John Carmack'];['IT, Game Devs, Programming']
1341;2019-08-27;02:28;1;['Steven Rinella'];['Miscellaneous']
1340;2019-08-26;02:12;1;['John Nores'];[]
1339;2019-08-22;03:17;1;['Everlast'];['Musicians']
1338;2019-08-21;02:57;1;['Roy Wood Jr.'];['Comedians']
1337;2019-08-20;02:43;1;['Dan Crenshaw'];['Military, Law Enforcement', 'Politics']
1336;2019-08-19;02:58;1;['Legion Of Skanks'];['Comedians']
1335;2019-08-14;01:50;1;['Jim Gaffigan'];['Actors', 'Comedians']
1334;2019-08-13;02:55;1;['Fahim Anwar'];['Miscellaneous', 'Comedians']
1333;2019-08-12;03:31;1;['Tom Papa'];['Actors', 'Comedians']
1332;2019-08-07;02:09;1;['Annie Lederman'];['Comedians']
1331;2019-08-06;02:29;1;['Alonzo Bodden'];['Comedians']
1330;2019-08-06;01:19;1;['Bernie Sanders'];['Politics']
1329;2019-08-01;03:23;1;['Brian Moses'];['Comedians']
1328;2019-07-30;02:23;1;['Whitney Cummings'];['Comedians']
1327;2019-07-30;02:22;1;['Mike Baker'];['Military, Law Enforcement']
1326;2019-07-29;01:52;1;['Maynard James Keenan'];['Musicians']
1325;2019-07-24;02:09;1;['Dr. Cornel West'];['Activists', 'Authors']
1324;2019-07-11;02:41;1;['Ian Edwards'];['Comedians']
1323;2019-07-10;01:28;1;['Andy Ngo'];['Journalists']
1322;2019-07-09;02:33;1;['Reggie Watts'];['Musicians', 'Comedians']
1321;2019-07-08;03:05;1;['Robert Oberst'];['Athletes, Fighters, Martial Arts']
1320;2019-07-03;03:35;1;['Eric Weinstein'];['Business', 'Scientists']
1319;2019-07-01;03:07;1;['Joey Diaz'];['Comedians']
1318;2019-06-26;02:41;1;['Hotep Jesus'];['Authors', 'Business']
1317;2019-06-26;03:00;1;['Andrew Santino'];['Comedians']
1316;2019-06-25;02:26;1;['Abby Martin'];['Journalists']
1315;2019-06-20;02:24;2;['Bob Lazar', 'Jeremy Corbell'];['Miscellaneous', 'Filmmakers', 'Scientists']
1314;2019-06-19;03:09;2;['Charlamagne tha God', 'Andrew Schulz'];['Miscellaneous', 'Comedians']
1313;2019-06-19;03:03;1;['Duncan Trussell'];['Comedians']
1312;2019-06-18;01:51;1;['Ms. Pat'];['Comedians']
1311;2019-06-05;02:13;1;['David Pakman'];['Miscellaneous']
1310;2019-06-05;03:11;1;['Sober October'];['Comedians']
1309;2019-06-04;02:19;1;['Naval Ravikant'];['Business']
1308;2019-06-04;03:07;1;['Eddie Bravo'];['Musicians', 'Athletes, Fighters, Martial Arts']
1307;2019-05-31;02:44;1;['Greg Fitzsimmons'];['Writers', 'Comedians']
1306;2019-05-30;02:11;1;['Wiz Khalifa'];['Musicians']
1305;2019-05-29;01:52;2;['JD', 'John Witherspoon'];['Actors', 'Comedians']
1304;2019-05-23;02:40;1;['Brendan Schaub'];['Comedians', 'Athletes, Fighters, Martial Arts']
1303;2019-05-23;01:49;1;['Tommy Chong'];['Actors', 'Musicians', 'Comedians']
