link;category
https://www.jrepodcast.com/episodes/activists/;Activists
https://www.jrepodcast.com/episodes/actors/;Actors
https://www.jrepodcast.com/episodes/artists/;Artists
https://www.jrepodcast.com/episodes/athletes-fighters-martial-arts/;Athletes, Fighters, Martial Arts
https://www.jrepodcast.com/episodes/authors/;Authors
https://www.jrepodcast.com/episodes/auto-moto/;Auto, Moto
https://www.jrepodcast.com/episodes/business/;Business
https://www.jrepodcast.com/episodes/comedians/;Comedians
https://www.jrepodcast.com/episodes/filmmakers/;Filmmakers
https://www.jrepodcast.com/episodes/food-nutrition/;Food, Nutrition
https://www.jrepodcast.com/episodes/health/;Health
https://www.jrepodcast.com/episodes/hunters/;Hunters
https://www.jrepodcast.com/episodes/inventors/;Inventors
https://www.jrepodcast.com/episodes/it-game-dev-programming/;IT, Game Devs, Programming
https://www.jrepodcast.com/episodes/journalists/;Journalists
https://www.jrepodcast.com/episodes/military-law-enforcement/;Military, Law Enforcement
https://www.jrepodcast.com/episodes/miscellaneous/;Miscellaneous
https://www.jrepodcast.com/episodes/models/;Models
https://www.jrepodcast.com/episodes/musicians/;Musicians
https://www.jrepodcast.com/episodes/politics/;Politics
https://www.jrepodcast.com/episodes/scientists/;Scientists
https://www.jrepodcast.com/episodes/writers/;Writers
